sr	category_en	occupation_en	category_mr	occupation_mr
340	Legal	Criminal Lawyer	कायदेशीर सेवा	फौजदारी वकील
341	Legal	Family Court Lawyer	कायदेशीर सेवा	कौटुंबिक न्यायालय वकील
342	Legal	Tax Lawyer	कायदेशीर सेवा	टॅक्स वकील
343	Legal	Corporate Lawyer	कायदेशीर सेवा	कॉर्पोरेट वकील
344	Medical	Unani Practitioner (BUMS)	वैद्यकीय	युनानी डॉक्टर (BUMS)
345	Medical	Naturopath	वैद्यकीय	निसर्गोपचार तज्ज्ञ
346	Health Care	Speech Therapist	आरोग्य सेवा	स्पीच थेरपिस्ट
347	Health Care	Audiologist	आरोग्य सेवा	श्रवणतज्ज्ञ (Audiologist)
348	Psychology	Clinical Psychologist	मानसिक आरोग्य	क्लिनिकल सायकॉलॉजिस्ट
349	Counseling	Child Counselor	समुपदेशन	बाल समुपदेशक
350	Counseling	Career Counselor	समुपदेशन	करिअर समुपदेशक
351	Counseling	Admissions Counselor	समुपदेशन	ॲडमिशन समुपदेशक
352	Counseling	Education Consultant	समुपदेशन	शैक्षणिक सल्लागार
353	Education	Special Education Teacher	शिक्षण	विशेष शिक्षक (दिव्यांग मुलांसाठी)
354	Education	Preschool Teacher	शिक्षण	बालवाडी शिक्षक
355	Education	Kindergarten Teacher	शिक्षण	केजी (KG) शिक्षक
356	Education	Primary School Teacher	शिक्षण	प्राथमिक शिक्षक
357	Education	Secondary School Teacher	शिक्षण	माध्यमिक शिक्षक
358	Education	Higher Secondary Teacher	शिक्षण	उच्च माध्यमिक शिक्षक
359	Fitness	Yoga Trainer	फिटनेस	योग प्रशिक्षक
360	Fitness	Pilates Instructor	फिटनेस	पायलेट्स इन्स्ट्रक्टर
361	Fitness	Zumba Instructor	फिटनेस	झुंबा इन्स्ट्रक्टर
362	Lifestyle	Personal Stylist	लाईफस्टाईल	पर्सनल स्टायलिस्ट
363	Lifestyle	Image Consultant	लाईफस्टाईल	इमेज कन्सल्टंट
364	Architecture	Interior Architect	आर्किटेक्चर	इंटीरियर आर्किटेक्ट
365	Architecture	Landscape Architect	आर्किटेक्चर	लँडस्केप आर्किटेक्ट
366	Architecture	Urban Planner	आर्किटेक्चर	नगर रचनाकार (Urban Planner)
367	Consulting	Environmental Consultant	सल्लागार	पर्यावरण सल्लागार
368	Consulting	Sustainable Energy Consultant	सल्लागार	ऊर्जा सल्लागार
369	Engineering	Solar Engineer	इंजिनीअरिंग	सोलर इंजिनिअर
370	Engineering	Wind Energy Engineer	इंजिनीअरिंग	पवन ऊर्जा इंजिनिअर
371	Environment	Waste Management Expert	पर्यावरण	कचरा व्यवस्थापन तज्ज्ञ
372	Technical	Water Treatment Operator	तांत्रिक सेवा	जलशुद्धीकरण केंद्र ऑपरेटर
373	Technical	Chemical Plant Operator	तांत्रिक सेवा	केमिकल प्लांट ऑपरेटर
374	Engineering	Mining Engineer	इंजिनीअरिंग	मायनिंग इंजिनिअर
375	Engineering	Petroleum Engineer	इंजिनीअरिंग	पेट्रोलियम इंजिनिअर
376	Engineering	Drilling Engineer	इंजिनीअरिंग	ड्रिलिंग इंजिनिअर
377	Engineering	Geotechnical Engineer	इंजिनीअरिंग	जिओटेक्निकल इंजिनिअर
378	Engineering	Estimation Engineer	इंजिनीअरिंग	एस्टिमेशन इंजिनिअर
379	Engineering	Site Engineer	इंजिनीअरिंग	साईट इंजिनिअर
380	Engineering	Project Engineer	इंजिनीअरिंग	प्रोजेक्ट इंजिनिअर
381	Surveying	Land Surveyor	सर्वेक्षण	भूमी मोजणीदार (Surveyor)
382	Surveying	Quantity Surveyor	सर्वेक्षण	क्वांटिटी सर्वेअर
383	Valuation	Jewelry Valuer	मूल्यनिर्धारण	दागिने मूल्यनिर्धारक
384	Valuation	Real Estate Valuer	मूल्यनिर्धारण	मालमत्ता मूल्यनिर्धारक
385	Insurance	Insurance Underwriter	विमा क्षेत्र	इन्शुरन्स अंडररायटर
386	Insurance	Claims Adjuster	विमा क्षेत्र	क्लेम ॲडजस्टर
387	Finance	Actuarial Analyst	वित्त सेवा	ॲक्चुअरियल ॲनलिस्ट
388	Digital Media	Social Media Strategist	डिजिटल मीडिया	सोशल मीडिया स्ट्रॅटेजिस्ट
389	Digital Media	Community Manager	डिजिटल मीडिया	कम्युनिटी मॅनेजर
390	Digital Media	Influencer Manager	डिजिटल मीडिया	इन्फ्लुएन्सर मॅनेजर
391	Entertainment	Podcast Host	मनोरंजन	पॉडकास्ट होस्ट
392	Media	News Anchor	मीडिया	बातमी निवेदक (News Anchor)
393	Media	News Reporter	मीडिया	बातमीदार (News Reporter)
394	Entertainment	Dubbing Artist	मनोरंजन	डबिंग आर्टिस्ट
395	Entertainment	Foley Artist	मनोरंजन	फोली आर्टिस्ट (ध्वनी परिणाम)
396	Arts	Music Producer	कला	म्युझिक प्रोड्युसर
397	Arts	Sound Mixer	कला	साऊंड मिक्सर
398	Design	Lighting Designer	डिझाइन	लाइटिंग डिझाइनर
399	Research	Historical Researcher	संशोधन	ऐतिहासिक संशोधक
400	Research	Sociology Researcher	संशोधन	समाजशास्त्र संशोधक
401	Modern Tech	Cybersecurity Auditor	मॉडर्न टेक	सायबर सिक्युरिटी ऑडिटर
402	Govt & Defense	Field Marshal	सरकारी आणि संरक्षण	फील्ड मार्शल
403	Govt & Defense	General	सरकारी आणि संरक्षण	जनरल
404	Govt & Defense	Lieutenant General	सरकारी आणि संरक्षण	लेफ्टनंट जनरल
405	Govt & Defense	Major General	सरकारी आणि संरक्षण	मेजर जनरल
406	Govt & Defense	Brigadier	सरकारी आणि संरक्षण	ब्रिगेडियर
407	Govt & Defense	Colonel	सरकारी आणि संरक्षण	कर्नल
408	Govt & Defense	Lieutenant Colonel	सरकारी आणि संरक्षण	लेफ्टनंट कर्नल
409	Govt & Defense	Major	सरकारी आणि संरक्षण	मेजर
410	Govt & Defense	Captain	सरकारी आणि संरक्षण	कॅप्टन
411	Govt & Defense	Lieutenant	सरकारी आणि संरक्षण	लेफ्टनंट
412	Govt & Defense	Subedar Major	सरकारी आणि संरक्षण	सुभेदार मेजर
413	Govt & Defense	Subedar	सरकारी आणि संरक्षण	सुभेदार
414	Govt & Defense	Naib Subedar	सरकारी आणि संरक्षण	नायब सुभेदार
415	Govt & Defense	Havildar	सरकारी आणि संरक्षण	हवालदार
416	Govt & Defense	Naik	सरकारी आणि संरक्षण	नाईक
417	Govt & Defense	Lance Naik	सरकारी आणि संरक्षण	लांस नाईक
418	Govt & Defense	Sepoy	सरकारी आणि संरक्षण	शिपाई
419	Govt & Defense	Rifleman	सरकारी आणि संरक्षण	रायफलमन
420	Govt & Defense	Army Doctor	सरकारी आणि संरक्षण	आर्मी डॉक्टर
421	Govt & Defense	Admiral of the Fleet	सरकारी आणि संरक्षण	ॲडमिरल ऑफ द फ्लीट
422	Govt & Defense	Admiral	सरकारी आणि संरक्षण	ॲडमिरल
423	Govt & Defense	Vice Admiral	सरकारी आणि संरक्षण	व्हाईस ॲडमिरल
424	Govt & Defense	Rear Admiral	सरकारी आणि संरक्षण	रिअर ॲडमिरल
425	Govt & Defense	Commodore	सरकारी आणि संरक्षण	कमोडोर
426	Govt & Defense	Captain (Navy)	सरकारी आणि संरक्षण	कॅप्टन (नौदल)
427	Govt & Defense	Commander	सरकारी आणि संरक्षण	कमांडर
428	Govt & Defense	Lieutenant Commander	सरकारी आणि संरक्षण	लेफ्टनंट कमांडर
429	Govt & Defense	Lieutenant (Navy)	सरकारी आणि संरक्षण	लेफ्टनंट (नौदल)
430	Govt & Defense	Sub Lieutenant	सरकारी आणि संरक्षण	सब लेफ्टनंट
431	Govt & Defense	Master Chief Petty Officer I	सरकारी आणि संरक्षण	मास्टर चीफ पेटी ऑफिसर १
432	Govt & Defense	Master Chief Petty Officer II	सरकारी आणि संरक्षण	मास्टर चीफ पेटी ऑफिसर २
433	Govt & Defense	Chief Petty Officer	सरकारी आणि संरक्षण	चीफ पेटी ऑफिसर
434	Govt & Defense	Petty Officer	सरकारी आणि संरक्षण	पेटी ऑफिसर
435	Govt & Defense	Leading Seaman	सरकारी आणि संरक्षण	लीडिंग सीमन
436	Govt & Defense	Able Seaman	सरकारी आणि संरक्षण	एबल सीमन
437	Govt & Defense	Seaman	सरकारी आणि संरक्षण	सीमन
438	Govt & Defense	Marshal of the Indian Air Force	सरकारी आणि संरक्षण	मार्शल ऑफ द इंडियन एअर फोर्स
439	Govt & Defense	Air Chief Marshal	सरकारी आणि संरक्षण	एअर चीफ मार्शल
440	Govt & Defense	Air Marshal	सरकारी आणि संरक्षण	एअर मार्शल
441	Govt & Defense	Air Vice Marshal	सरकारी आणि संरक्षण	एअर व्हाईस मार्शल
442	Govt & Defense	Air Commodore	सरकारी आणि संरक्षण	एअर कमोडोर
443	Govt & Defense	Group Captain	सरकारी आणि संरक्षण	ग्रुप कॅप्टन
444	Govt & Defense	Wing Commander	सरकारी आणि संरक्षण	विंग कमांडर
445	Govt & Defense	Squadron Leader	सरकारी आणि संरक्षण	स्क्वाड्रन लीडर
446	Govt & Defense	Flight Lieutenant	सरकारी आणि संरक्षण	फ्लाईट लेफ्टनंट
447	Govt & Defense	Flying Officer	सरकारी आणि संरक्षण	फ्लाईंग ऑफिसर
448	Govt & Defense	Master Warrant Officer	सरकारी आणि संरक्षण	मास्टर वॉरंट ऑफिसर
449	Govt & Defense	Warrant Officer	सरकारी आणि संरक्षण	वॉरंट ऑफिसर
450	Govt & Defense	Junior Warrant Officer	सरकारी आणि संरक्षण	ज्युनियर वॉरंट ऑफिसर
451	Govt & Defense	Sergeant	सरकारी आणि संरक्षण	सार्जंट
452	Govt & Defense	Corporal	सरकारी आणि संरक्षण	कॉर्पोरल
453	Govt & Defense	Leading Aircraftman	सरकारी आणि संरक्षण	लीडिंग एअरक्राफ्टमन
454	Govt & Defense	Aircraftman	सरकारी आणि संरक्षण	एअरक्राफ्टमन
455	Status	Pensioner	सद्यस्थिती / इतर	पेन्शनर
